Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y
Government,1,5376,Mortlake P-12 College,Pri/Sec,O,10 Hood Avenue,,Mortlake,VIC,3272,P O Box 84,,MORTLAKE,VIC,3272,03 5599 2204,SOUTH-WESTERN VICTORIA,Wimmera South West,549,Moyne (S),Non Metro,142.80955,-38.086366
Government,1,5403,Tyrrell College,Pri/Sec,O,10 Sutcliff Street,,Sea Lake,VIC,3533,P O Box 231,,SEA LAKE,VIC,3533,03 5070 2106,NORTH-WESTERN VICTORIA,Mallee,127,Buloke (S),Non Metro,142.853519,-35.509276
Government,1,5432,Edenhope College,Pri/Sec,O,40-48 Lake Street,,Edenhope,VIC,3318,Locked Bag 1,,EDENHOPE,VIC,3318,03 5585 1277,SOUTH-WESTERN VICTORIA,Wimmera South West,689,West Wimmera (S),Non Metro,141.2985627,-37.03342876
Government,1,5433,Murrayville Community College,Pri/Sec,O,20 Francis Street,,Murrayville,VIC,3512,P O Box 116,,MURRAYVILLE,VIC,3512,03 5095 2001,NORTH-WESTERN VICTORIA,Mallee,478,Mildura (RC),Non Metro,141.1773365,-35.26557452
Government,1,5434,Hawkesdale P12 College,Pri/Sec,O,65 Mitchell Street,,Hawkesdale,VIC,3287,P O Box 30,,HAWKESDALE,VIC,3287,03 5560 7225,SOUTH-WESTERN VICTORIA,Wimmera South West,549,Moyne (S),Non Metro,142.319173,-38.106976
Government,1,5435,Carwatha College P-12,Pri/Sec,O,43-81 Browns Road,,Noble Park,VIC,3174,43-81 Browns Road,,NOBLE PARK,VIC,3174,03 9795 5848,SOUTH-EASTERN VICTORIA,Southern Melbourne,267,Greater Dandenong (C),Metro,145.188726,-37.942845
Government,1,5479,Timbarra P-9 College,Pri/Sec,O,159-197 Parkhill Drive,,Berwick,VIC,3806,P O Box 259,,BERWICK,VIC,3806,03 9704 2744,SOUTH-EASTERN VICTORIA,Southern Melbourne,161,Casey (C),Metro,145.3226276,-38.01557462
Government,1,5486,Carranballac P-9 College,Pri/Sec,O,Cnr Foxwood Dve & Dunnings Rd,,Point Cook,VIC,3030,PO Box 6106,,Point Cook,VIC,3030,03 9395 3533,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.743132,-37.884736
Government,1,5501,Truganina P-9 College,Pri/Sec,O,55 Clearwood Drive,,Truganina,VIC,3029,55 Clearwood Drive,,Truganina,VIC,3029,03 9368 9800,SOUTH-WESTERN VICTORIA,Western Melbourne,726,Wyndham (C),Metro,144.7190874,-37.83876718
Government,1,5520,Yuille Park Community College,Pri/Sec,O,39 Violet Grove,,Wendouree,VIC,3355,P O Box 42,,Wendouree,VIC,3355,03 5339 5555,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),Non Metro,143.820396,-37.527504
