School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over
Lalor Secondary College,,LALOR,50,25,,,,185,107,69,98,28,< 4,73,-,26,2.3
Lilydale Heights College,,LILYDALE,46,25,,,,125,58,64,95,11,< 4,71,I/D,26,3.7
Lowanna College,,NEWBOROUGH,47,29,Y,,,128,135,33,97,25,-,88,I/D,26,2.5
Lyndale Secondary College,,DANDENONG NORTH,40,20,Y,,,144,84,82,97,18,< 4,76,-,26,3.5
Maryborough Education Centre,,MARYBOROUGH,42,33,Y,,,126,146,42,84,18,-,50,-,26,2.1
Melton Christian College,,BROOKFIELD,31,12,Y,,,106,53,79,100,11,-,70,I/D,26,0.8
Gilson College,*,MERNDA,15,-,,,,14,-,100,100,-,-,-,-,26,0.0
Mildura Senior College,,MILDURA,81,45,Y,,,708,491,46,94,48,-,84,100,26,2.8
Mill Park Secondary College,,EPPING,59,31,,,,241,126,72,96,15,< 4,84,-,26,2.4
Minaret College,,SPRINGVALE,20,-,,,,179,-,92,100,-,-,-,-,26,4.4
Mount Beauty Sec College,,MOUNT BEAUTY,28,12,Y,,,38,27,16,100,< 4,-,90,I/D,26,0.0
Mount Clear College,,MOUNT CLEAR,48,26,Y,,,172,187,48,86,20,< 4,77,I/D,26,1.4
Murtoa P-12 College,,MURTOA,24,17,Y,,,40,62,50,100,8,-,99,I/D,26,0.0
Sherbrooke Community School,*,SASSAFRAS,16,11,,,,14,18,42,92,< 4,-,79,-,26,0.0
Springside West Sec College,,FRASER RISE,58,37,Y,,,228,116,75,95,31,< 4,77,-,26,1.8
St Arnaud Secondary College,,ST ARNAUD,15,7,Y,,,22,21,40,80,-,-,68,-,26,0.0
St Joseph's College,,MILDURA,50,21,Y,,,129,75,63,99,10,< 4,86,-,26,2.9
St Mary of the Angels School,,NATHALIA,51,34,Y,,,145,73,62,99,22,-,72,-,26,2.1
St Peter's College,,CRANBOURNE,67,32,Y,,,421,256,75,98,31,< 4,70,88,26,2.3
St Thomas Aquinas College,*,TYNONG,16,4,,,,18,5,55,100,-,< 4,88,-,26,0.0
Sunshine College,,SUNSHINE WEST,44,17,Y,,,272,112,75,98,32,< 4,89,-,26,1.5
Swan Hill College,,SWAN HILL,38,23,Y,,,144,189,65,99,11,< 4,82,-,26,1.8
Terang College Sec Campus,,TERANG,20,13,Y,,,26,15,39,100,4,-,96,-,26,6.5
Thomas Carr College,,TARNEIT,51,19,,,,214,53,86,100,12,10,84,75,26,2.0
Wangaratta High School,,WANGARATTA,39,24,,,,86,85,55,89,< 4,-,68,I/D,26,1.9
Warrandyte High School,,WARRANDYTE,34,24,,,,58,57,53,100,5,-,81,-,26,0.8
Warrnambool College,,WARRNAMBOOL,49,32,Y,,,187,222,47,95,25,< 4,92,I/D,26,1.5
Ballarat Christian College,,SEBASTOPOL,27,21,,,,36,40,63,100,6,-,83,-,25,0.0
Carrum Downs Sec College,,CARRUM DOWNS,43,37,Y,,,162,147,32,94,38,-,91,-,25,0.8
Dandenong High School,,DANDENONG,60,21,Y,,,313,113,73,95,27,5,77,-,25,1.7
Diamond Valley College,,DIAMOND CREEK,52,35,,,,133,126,56,100,18,-,76,I/D,25,0.7
Drouin Secondary College,,DROUIN,50,45,Y,,,207,174,43,98,34,< 4,100,I/D,25,1.1
Edenhope College,*,EDENHOPE,18,9,Y,,,11,11,33,100,< 4,-,83,-,25,0.0
Grovedale College,,GROVEDALE,41,23,Y,,,136,105,49,98,21,-,91,-,25,1.1
Hallam Senior Sec College,,HALLAM,45,27,Y,,,185,135,31,92,25,-,53,-,25,0.6
Heathmont College,,HEATHMONT,53,32,,,,165,84,49,98,13,4,80,-,25,0.7
Korumburra Sec College,,KORUMBURRA,33,18,,,,64,49,41,97,10,-,99,-,25,0.7
Lakeside Lutheran College,,PAKENHAM,20,4,,,,35,4,87,100,-,< 4,69,-,25,0.9
Lara Secondary College,,LARA,32,26,,,,95,99,25,92,16,-,40,-,25,1.5
Monbulk College,,MONBULK,40,31,,,,99,86,57,98,14,-,79,I/D,25,5.1
Newcomb Secondary College,,NEWCOMB,37,22,Y,,,76,85,14,88,19,-,69,-,25,1.0
Noble Park Secondary College,,NOBLE PARK,39,20,,,,89,68,68,100,19,< 4,85,-,25,0.5
Orbost Secondary College,,ORBOST,23,12,Y,,,57,52,62,95,4,-,61,-,25,5.6
Rowville Secondary College,,ROWVILLE,74,51,Y,,,374,361,41,96,83,< 4,86,I/D,25,2.1
Seymour College,,SEYMOUR,40,26,Y,,,97,103,38,92,23,< 4,100,-,25,1.7
St Anne's College,,KIALLA,42,25,,,,62,43,60,96,10,-,69,I/D,25,0.7
Staughton College,,MELTON SOUTH,37,30,Y,,,174,183,53,95,45,-,67,-,25,1.5
The Grange P-12 College,,HOPPERS CROSSING,40,28,Y,,,215,139,55,95,38,-,84,-,25,3.2
Traralgon College,,TRARALGON,38,25,,,,150,106,35,98,21,-,81,-,25,0.9
Western Port Sec College,,HASTINGS,34,33,Y,,,94,159,47,95,16,-,57,-,25,1.9
William Ruthven Sec College,,RESERVOIR,34,22,,,,68,57,68,97,11,-,71,I/D,25,2.9
Wyndham Central Sec Coll,,WERRIBEE,42,24,,,,182,73,65,90,23,< 4,84,-,25,1.3
Yarram Secondary College,,YARRAM,27,20,Y,,,62,62,37,87,5,-,91,-,25,1.4
Yea High School,,YEA,31,19,Y,,,60,43,43,86,5,-,80,-,25,0.0
Alexandra Secondary College,,ALEXANDRA,19,6,,,,87,54,51,91,5,-,51,-,24,2.6
Alia College,,HAWTHORN EAST,22,2,,,,22,< 4,38,81,-,-,I/D,-,24,2.1
Bacchus Marsh College,,BACCHUS MARSH,46,35,,,,175,142,57,97,28,-,71,-,24,0.3
Benalla P-12 College,,BENALLA,28,21,,,,70,86,41,98,13,-,70,I/D,24,0.8
Cann River P-12 College,*,CANN RIVER,9,3,,,,5,6,100,100,-,-,92,-,24,0.0
Charles La Trobe P-12 College,,MACLEOD WEST,30,25,Y,,,62,68,91,91,9,< 4,78,-,24,0.0
Chisholm Institute,,FRANKSTON,26,27,,,,63,57,32,96,23,-,84,-,24,0.0
Cobden Technical School,*,COBDEN,14,12,Y,,,17,20,20,100,5,-,77,-,24,0.0
Cobram Secondary College,,COBRAM,39,24,Y,,,62,94,43,98,8,-,69,-,24,0.9
Cranbourne Secondary College,,CRANBOURNE,54,31,,,,304,255,67,97,68,-,87,-,24,0.3
Echuca College,,ECHUCA,43,26,,,,130,166,51,99,7,-,78,-,24,0.7
Geelong Baptist College,,LOVELY BANKS,33,16,,,,53,19,44,87,< 4,-,98,-,24,2.5
Good Shepherd College,,HAMILTON,19,10,,,,29,20,47,88,4,-,87,-,24,0.0
Gordon Institute of TAFE,,GEELONG,21,22,Y,,,58,52,33,92,9,-,93,-,24,1.6
Kaniva P-12 College,*,KANIVA,18,10,Y,,,13,19,38,100,< 4,-,100,I/D,24,0.0
Kurnai College,,CHURCHILL,56,35,Y,,,183,222,40,98,30,-,68,-,24,0.8
Kurunjang Secondary College,,MELTON,37,23,Y,,,130,94,61,98,25,-,86,-,24,2.3
Laverton P-12 College,,LAVERTON,28,15,,,,54,49,84,100,12,< 4,84,-,24,3.7
Manor Lakes P-12 College,,WYNDHAM VALE,59,48,Y,,,255,256,47,92,49,-,59,-,24,3.2
Melton Secondary College,,MELTON,39,30,Y,,,203,224,50,83,34,< 4,58,-,24,1.2
Mount Erin College,,FRANKSTON SOUTH,47,35,,,,116,93,36,97,24,< 4,84,-,24,2.9
Mount Ridley P-12 College,,CRAIGIEBURN,42,21,,,,350,171,71,99,26,-,86,-,24,1.3
Myrtleford P-12 College,,MYRTLEFORD,24,12,Y,,,36,34,38,90,4,< 4,100,-,24,3.2
Northern Bay P-12 College,,CORIO,40,32,Y,,,93,186,41,89,18,-,64,-,24,2.2
Numurkah Secondary College,,NUMURKAH,22,15,Y,,,30,31,44,78,< 4,-,63,-,24,0.0
Portland Secondary College,,PORTLAND,28,20,Y,,,106,101,46,100,16,-,75,-,24,0.4
Rainbow P-12 College,*,RAINBOW,20,11,,,,15,15,33,100,< 4,-,100,-,24,2.9
Sale College,,SALE,36,14,Y,,,112,63,58,98,10,-,97,-,24,0.7
Thomastown Secondary College,,THOMASTOWN,25,8,,,,83,13,64,89,-,< 4,78,-,24,1.4
Timboon P-12 School,,TIMBOON,26,16,,,,34,51,53,93,< 4,-,99,-,24,1.6
Warragul Regional College,,WARRAGUL,45,34,Y,,,128,106,23,97,19,-,99,-,24,0.0
Westall Secondary College,,CLAYTON SOUTH,46,25,,,,168,87,59,96,28,< 4,64,I/D,24,3.0
Whittlesea Secondary College,,WHITTLESEA,41,34,,,,94,104,75,97,12,-,99,-,24,1.7
Yarra Hills Sec Coll Mooroolbark,,MOOROOLBARK,55,42,,,,129,103,44,89,29,-,70,-,24,0.0
Bannockburn P-12 College,,BANNOCKBURN,38,24,Y,,,89,99,40,95,15,-,86,I/D,23,1.5
Colac Secondary College,,COLAC,29,21,Y,,,79,57,33,93,9,-,79,-,23,0.0
Glenroy Private,*,GLENROY,8,-,,,,9,-,100,100,-,-,-,-,23,0.0
Greater Shepparton Sec College,,SHEPPARTON,72,51,Y,,,329,404,49,92,51,-,71,I/D,23,1.3
Kyabram P-12 College,,KYABRAM,36,26,,,,81,93,36,98,9,-,98,I/D,23,0.0
Lalor North Sec College,,EPPING,34,27,,,,61,66,59,89,11,< 4,55,-,23,0.0
Lorne P-12 College,*,LORNE,21,5,,,,13,24,100,100,< 4,-,96,-,23,3.9
Nhill College,*,NHILL,23,9,,,,18,14,62,92,< 4,-,97,I/D,23,0.0
Red Cliffs Secondary College,,RED CLIFFS,29,18,,,,43,60,43,86,-,-,78,-,23,0.0
Robinvale College,*,ROBINVALE,16,9,Y,,,13,19,-,100,4,-,84,-,23,0.0
Roxburgh College,,ROXBURGH PARK,39,16,Y,,,238,421,60,93,57,-,74,-,23,0.7
Stawell Secondary College,,STAWELL,22,20,,,,53,68,23,91,14,-,57,-,23,2.4
Tarneit Senior College,,TARNEIT,59,34,Y,,,426,212,67,98,53,< 4,44,-,23,0.7
Australian Internatl Academy,,CAROLINE SPRINGS,12,-,,Y,,34,-,97,100,-,-,-,-,22,4.0
Broadford Secondary College,,BROADFORD,53,24,Y,,,132,107,54,98,27,< 4,62,I/D,22,0.7
Sydney Road Community School,*,BRUNSWICK,16,7,Y,,,17,13,25,92,6,-,61,-,22,0.0
Wallan Secondary College,,WALLAN,55,37,,,,116,115,34,93,14,-,66,-,22,0.0
Western Heights Sec College,,HAMLYN HEIGHTS,45,28,Y,,,165,160,40,100,17,< 4,54,I/D,22,0.6
Wodonga Senior Sec College,,WODONGA,73,46,Y,,,527,825,23,86,30,4,67,I/D,22,0.2
Chisholm Institute of TAFE,,DANDENONG,30,21,,,,152,79,39,88,39,-,86,-,21,0.3
Craigieburn Secondary College,,CRAIGIEBURN,35,9,,,,283,159,76,96,33,< 4,82,-,21,0.7
East Preston Islamic College,,PRESTON,9,1,,,,23,9,33,83,-,-,100,-,21,0.0
Monterey Secondary College,,FRANKSTON NORTH,26,22,Y,,,81,134,6,88,18,-,76,-,21,4.5
Rutherglen High School,,RUTHERGLEN,24,9,,,,56,51,32,100,9,-,79,-,21,0.0
TAFE Gippsland,,SALE,21,17,,,,51,44,14,79,12,-,63,-,21,0.0
Australian Internatl Academy,,COBURG,17,-,,Y,,50,-,91,100,-,-,-,-,20,1.2
John Fawkner College,,FAWKNER,21,11,,,,43,32,28,59,-,-,48,-,20,2.3
Nathalia Secondary College,,NATHALIA,21,15,Y,,,22,37,40,90,< 4,-,75,-,20,2.9
Ozford College,,MELBOURNE,10,-,,,,34,-,38,83,-,-,-,-,20,0.0
Wedderburn College,,WEDDERBURN,19,11,Y,,,21,29,50,100,< 4,-,72,-,20,0.0
Glenroy Secondary College,,GLENROY,29,14,Y,,,77,45,51,100,11,-,55,-,19,0.0
Neerim District Sec College,,NEERIM SOUTH,19,17,Y,,,33,35,11,89,< 4,-,97,-,19,0.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
