suburb,avg_study_score,median_study_score,school_count,std_study_score,total_schools
SPRINGVALE,28.0,28.0,3,2.0,3
ST KILDA,33.0,33.0,1,,1
ST KILDA EAST,34.75,34.5,4,1.71,4
STRATHDALE,29.0,29.0,1,,1
SUNBURY,27.0,27.0,2,0.0,2
SWAN HILL,29.0,29.0,1,,1
SALE,24.0,24.0,1,,1
SANDRINGHAM,31.0,31.0,1,,1
SASSAFRAS,26.0,26.0,1,,1
SCORESBY,28.0,28.0,1,,1
SEA LAKE,28.0,28.0,1,,1
SEYMOUR,25.0,25.0,1,,1
SOMERVILLE,28.0,28.0,1,,1
SOUTH MORANG,30.0,30.0,1,,1
SOUTH YARRA,36.0,36.0,1,,1
ST ALBANS,31.0,31.0,1,,1
ST ARNAUD,26.0,26.0,1,,1
STAWELL,23.0,23.0,1,,1
STRATHMORE,30.0,30.0,1,,1
SUNBURY,27.0,27.0,1,,1
SUNSHINE WEST,26.0,26.0,1,,1
SWAN HILL,26.0,26.0,1,,1
SWIFTS CREEK,29.0,29.0,1,,1
TARNEIT,29.33,31.0,3,2.89,3
TAYLORS HILL,26.5,26.5,2,0.71,2
TOORAK,35.33,35.0,3,0.58,3
TRARALGON,30.0,30.0,1,,1
TRUGANINA,33.5,33.5,2,0.71,2
TYNONG,26.0,26.0,1,,1
TALLANGATTA,27.0,27.0,1,,1
TARNEIT,23.0,23.0,1,,1
TEMPLESTOWE LOWER,28.0,28.0,1,,1
THOMASTOWN,24.0,24.0,1,,1
THORNBURY,28.5,28.5,2,2.12,2
TIMBOON,24.0,24.0,1,,1
TRAFALGAR,27.0,27.0,1,,1
TRARALGON,25.0,25.0,1,,1
UPWEY,27.0,27.0,1,,1
VERMONT SOUTH,31.0,31.0,1,,1
VERMONT,32.0,32.0,1,,1
VIEWBANK,31.0,31.0,1,,1
WANTIRNA SOUTH,33.0,33.5,4,1.41,4
WATSONIA,30.0,30.0,1,,1
WENDOUREE,32.0,32.0,1,,1
WERRIBEE,30.0,30.0,1,,1
WEST MELBOURNE,30.0,30.0,1,,1
WODONGA,28.0,28.0,2,0.0,2
WOODEND,32.0,32.0,1,,1
WALLAN,22.0,22.0,1,,1
WANGARATTA,26.0,26.0,1,,1
WANTIRNA,29.0,29.0,1,,1
WARRAGUL,24.0,24.0,1,,1
WARRANDYTE,26.0,26.0,1,,1
WARRNAMBOOL,26.0,26.0,1,,1
WEDDERBURN,20.0,20.0,1,,1
WENDOUREE,28.0,28.0,1,,1
WERRIBEE,31.0,31.0,2,4.24,2
WHITTLESEA,24.0,24.0,1,,1
WILLIAMSTOWN,29.5,29.5,2,2.12,2
WINDSOR,30.0,30.0,1,,1
WOLLERT,26.0,26.0,1,,1
WONTHAGGI,28.0,28.0,1,,1
WYCHEPROOF,30.0,30.0,1,,1
WYNDHAM VALE,24.0,24.0,1,,1
YARRA JUNCTION,29.0,29.0,1,,1
YARRAWONGA,27.0,27.0,1,,1
YARRA JUNCTION,27.0,27.0,1,,1
YARRAM,25.0,25.0,1,,1
YARRAWONGA,28.0,28.0,1,,1
YEA,25.0,25.0,1,,1
