avg_study_score,school_count,total_schools,suburb,SA2_NAME16
,0,0,BOHO SOUTH,BOHO SOUTH
,0,0,BOIGBEAT,BOIGBEAT
,0,0,BOINKA,BOINKA
,0,0,BOISDALE,BOISDALE
,0,0,BOLANGUM,BOLANGUM
,0,0,BOLINDA,BOLINDA
,0,0,BOLTON,BOLTON
,0,0,BOLWARRA,BOLWARRA
,0,0,BOLWARRAH,BOLWARRAH
,0,0,BONA VISTA,BONA VISTA
,0,0,BONANG,BONANG
,0,0,BONBEACH,BONBEACH
,0,0,BONEGILLA,BONEGILLA
,0,0,BONEO,BONEO
,0,0,BONN,BONN
,0,0,BONNIE BROOK,BONNIE BROOK
,0,0,BONNIE DOON,BONNIE DOON
,0,0,BONSHAW,BONSHAW
,0,0,BOOKAAR,BOOKAAR
,0,0,BOOLA,BOOLA
,0,0,BOOLARONG,BOOLARONG
,0,0,BOOLARRA,BOOLARRA
,0,0,BOOLARRA SOUTH,BOOLARRA SOUTH
,0,0,BOOLE POOLE,BOOLE POOLE
,0,0,BOOLITE,BOOLITE
,0,0,BOOMAHNOOMOONAH,BOOMAHNOOMOONAH
,0,0,BOONAH,BOONAH
,0,0,BOORCAN,BOORCAN
,0,0,BOORHAMAN,BOORHAMAN
,0,0,BOORHAMAN EAST,BOORHAMAN EAST
,0,0,BOORHAMAN NORTH,BOORHAMAN NORTH
,0,0,BOOROLITE,BOOROLITE
,0,0,BOOROOL,BOOROOL
30.0,1,1,BOORT,BOORT
,0,0,BOOSEY,BOOSEY
,0,0,BORALMA,BORALMA
,0,0,BORNES HILL,BORNES HILL
27.0,1,1,BORONIA,BORONIA
,0,0,BORUNG,BORUNG
,0,0,BOSTOCKS CREEK,BOSTOCKS CREEK
,0,0,BOTANIC RIDGE,BOTANIC RIDGE
,0,0,BOUNDARY BEND,BOUNDARY BEND
,0,0,BOWENVALE,BOWENVALE
,0,0,BOWEYA,BOWEYA
,0,0,BOWEYA NORTH,BOWEYA NORTH
,0,0,BOWMANS FOREST,BOWMANS FOREST
,0,0,BOWSER,BOWSER
32.0,2,2,BOX HILL,BOX HILL
,0,0,BOX HILL NORTH,BOX HILL NORTH
,0,0,BOX HILL SOUTH,BOX HILL SOUTH
,0,0,BOXWOOD,BOXWOOD
,0,0,BRADFORD,BRADFORD
,0,0,BRADVALE,BRADVALE
,0,0,BRAESIDE,BRAESIDE
,0,0,BRANDY CREEK,BRANDY CREEK
,0,0,BRANXHOLME,BRANXHOLME
,0,0,BRAVINGTON,BRAVINGTON
31.0,1,1,BRAYBROOK,BRAYBROOK
,0,0,BREAKAWAY CREEK,BREAKAWAY CREEK
,0,0,BREAKWATER,BREAKWATER
,0,0,BREAMLEA,BREAMLEA
,0,0,BRENANAH,BRENANAH
,0,0,BREWSTER,BREWSTER
,0,0,BRIAGOLONG,BRIAGOLONG
,0,0,BRIAR HILL,BRIAR HILL
,0,0,BRIDGE CREEK,BRIDGE CREEK
,0,0,BRIDGEWATER,BRIDGEWATER
,0,0,BRIDGEWATER NORTH,BRIDGEWATER NORTH
,0,0,BRIDGEWATER ON LODDON,BRIDGEWATER ON LODDON
29.0,1,1,BRIGHT,BRIGHT
34.3,3,3,BRIGHTON,BRIGHTON
34.0,1,1,BRIGHTON EAST,BRIGHTON EAST
,0,0,BRIM,BRIM
,0,0,BRIMBOAL,BRIMBOAL
,0,0,BRIMIN,BRIMIN
,0,0,BRIMPAEN,BRIMPAEN
,0,0,BRINGALBERT,BRINGALBERT
,0,0,BRIT BRIT,BRIT BRIT
22.0,1,1,BROADFORD,BROADFORD
,0,0,BROADLANDS,BROADLANDS
29.0,3,3,BROADMEADOWS,BROADMEADOWS
,0,0,BROADWATER,BROADWATER
,0,0,BRODRIBB RIVER,BRODRIBB RIVER
,0,0,BROKEN CREEK,BROKEN CREEK
,0,0,BROMLEY,BROMLEY
26.0,1,1,BROOKFIELD,BROOKFIELD
,0,0,BROOKLYN,BROOKLYN
,0,0,BROOKVILLE,BROOKVILLE
,0,0,BROOMFIELD,BROOMFIELD
,0,0,BROUGHTON,BROUGHTON
,0,0,BROWN HILL,BROWN HILL
,0,0,BROWNS PLAINS,BROWNS PLAINS
,0,0,BRUARONG,BRUARONG
,0,0,BRUCKNELL,BRUCKNELL
,0,0,BRUMBY,BRUMBY
26.0,2,2,BRUNSWICK,BRUNSWICK
,0,0,BRUNSWICK EAST,BRUNSWICK EAST
,0,0,BRUNSWICK WEST,BRUNSWICK WEST
,0,0,BRUTHEN,BRUTHEN
,0,0,BUANGOR,BUANGOR
,0,0,BUCHAN,BUCHAN
,0,0,BUCHAN SOUTH,BUCHAN SOUTH
,0,0,BUCKLAND,BUCKLAND
,0,0,BUCKLEY,BUCKLEY
,0,0,BUCKLEY SWAMP,BUCKLEY SWAMP
,0,0,BUCKRABANYULE,BUCKRABANYULE
,0,0,BUDGEE BUDGEE,BUDGEE BUDGEE
,0,0,BUDGEREE,BUDGEREE
,0,0,BUDGERUM EAST,BUDGERUM EAST
,0,0,BUFFALO,BUFFALO
,0,0,BUFFALO RIVER,BUFFALO RIVER
,0,0,BULART,BULART
,0,0,BULDAH,BULDAH
,0,0,BULGA,BULGA
,0,0,BULGANA,BULGANA
,0,0,BULLA,BULLA
,0,0,BULLAHARRE,BULLAHARRE
,0,0,BULLAROOK,BULLAROOK
,0,0,BULLARTO,BULLARTO
,0,0,BULLARTO SOUTH,BULLARTO SOUTH
31.0,1,1,BULLEEN,BULLEEN
,0,0,BULLENGAROOK,BULLENGAROOK
,0,0,BULLIOH,BULLIOH
,0,0,BULLUMWAAL,BULLUMWAAL
,0,0,BULN BULN,BULN BULN
,0,0,BULN BULN EAST,BULN BULN EAST
,0,0,BUMBERRAH,BUMBERRAH
,0,0,BUNBARTHA,BUNBARTHA
,0,0,BUNDALAGUAH,BUNDALAGUAH
,0,0,BUNDALONG,BUNDALONG
,0,0,BUNDALONG SOUTH,BUNDALONG SOUTH
,0,0,BUNDARA,BUNDARA
,0,0,BUNDING,BUNDING
30.0,2,2,BUNDOORA,BUNDOORA
,0,0,BUNG BONG,BUNG BONG
,0,0,BUNGADOR,BUNGADOR
,0,0,BUNGAL,BUNGAL
,0,0,BUNGALALLY,BUNGALALLY
,0,0,BUNGAREE,BUNGAREE
,0,0,BUNGEET,BUNGEET
,0,0,BUNGEET WEST,BUNGEET WEST
,0,0,BUNGIL,BUNGIL
,0,0,BUNGULUKE,BUNGULUKE
,0,0,BUNINYONG,BUNINYONG
,0,0,BUNKERS HILL,BUNKERS HILL
,0,0,BUNYIP,BUNYIP
,0,0,BUNYIP NORTH,BUNYIP NORTH
,0,0,BURAGWONDUC,BURAGWONDUC
,0,0,BURKES BRIDGE,BURKES BRIDGE
,0,0,BURKES FLAT,BURKES FLAT
,0,0,BURNBANK,BURNBANK
,0,0,BURNEWANG,BURNEWANG
,0,0,BURNLEY,BURNLEY
,0,0,BURNSIDE,BURNSIDE
,0,0,BURNSIDE HEIGHTS,BURNSIDE HEIGHTS
,0,0,BURRAMBOOT,BURRAMBOOT
,0,0,BURRAMINE,BURRAMINE
,0,0,BURRAMINE SOUTH,BURRAMINE SOUTH
,0,0,BURROWYE,BURROWYE
,0,0,BURRUMBEET,BURRUMBEET
36.5,2,2,BURWOOD,BURWOOD
29.0,1,1,BURWOOD EAST,BURWOOD EAST
,0,0,BUSHFIELD,BUSHFIELD
,0,0,BUSHY PARK,BUSHY PARK
,0,0,BUTCHERS RIDGE,BUTCHERS RIDGE
,0,0,BUXTON,BUXTON
,0,0,BYADUK,BYADUK
,0,0,BYADUK NORTH,BYADUK NORTH
,0,0,BYAWATHA,BYAWATHA
,0,0,BYLANDS,BYLANDS
,0,0,BYRNESIDE,BYRNESIDE
,0,0,CABARITA,CABARITA
,0,0,CABBAGE TREE,CABBAGE TREE
,0,0,CABBAGE TREE CREEK,CABBAGE TREE CREEK
,0,0,CADELLO,CADELLO
,0,0,CAIRNLEA,CAIRNLEA
,0,0,CALDER PARK,CALDER PARK
,0,0,CALDERMEADE,CALDERMEADE
,0,0,CALIFORNIA GULLY,CALIFORNIA GULLY
